id	cat_url	cod	cod_n	stat	stat_n
c1618	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362638	^^^	^^^	^^^	^^^
c1619	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362639	^^^	^^^	^^^	^^^
c1620	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362640	^^^	^^^	^^^	^^^
c1621	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362641	^^^	^^^	^^^	^^^
c1622	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362642	^^^	^^^	^^^	^^^
c1623	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362643	^^^	^^^	^^^	^^^
c1624	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362644	^^^	^^^	^^^	^^^
c1625	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362645	^^^	^^^	^^^	^^^
c1626	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362646	^^^	^^^	^^^	^^^
c1627	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362647	^^^	^^^	^^^	^^^
c1628	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362649	^^^	^^^	^^^	^^^
c1629	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362650	^^^	^^^	^^^	^^^
c1630	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362651	^^^	^^^	^^^	^^^
c1631	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362652	^^^	^^^	^^^	^^^
c1632	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362653	^^^	^^^	^^^	^^^
c1633	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362654	^^^	^^^	^^^	^^^
c1634	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362655	^^^	^^^	^^^	^^^
c1635	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362656	^^^	^^^	^^^	^^^
c1636	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362657	^^^	^^^	^^^	^^^
